tamanho;tempo_malloqueiro;tempo_malloc
1024;0.0250000004;0.0060000001
2048;0.0220000017;0.0060000001
3072;0.0250000004;0.0090000005
4096;0.0290000010;0.0100000007
5120;0.0340000018;0.0110000009
6144;0.0380000025;0.0130000003
7168;0.0440000035;0.0150000006
8192;0.0480000004;0.0170000009
9216;0.0530000031;0.0180000011
10240;0.0580000021;0.0200000014
11264;0.0620000027;0.0210000016
12288;0.0659999996;0.0230000019
13312;0.0700000003;0.0320000015
14336;0.1410000026;0.0160000008
15360;0.0500000007;0.0180000011
16384;0.0520000011;0.0180000011
17408;0.0540000014;0.0190000013
18432;0.0570000038;0.0200000014
19456;0.0590000041;0.0210000016
20480;0.0630000010;0.0220000017
21504;0.0650000051;0.0230000019
22528;0.0670000017;0.0250000004
23552;0.0700000003;0.0250000004
24576;0.0730000064;0.0260000005
25600;0.0760000050;0.0280000009
26624;0.0780000016;0.0290000010
27648;0.0810000002;0.0300000012
28672;0.0840000063;0.0300000012
29696;0.0880000070;0.0310000014
30720;0.0900000036;0.0320000015
31744;0.0920000076;0.0340000018
32768;0.0950000063;0.0350000001
33792;0.0950000063;0.0950000063
34816;0.0960000008;0.0970000029
35840;0.0990000069;0.0990000069
36864;0.1010000035;0.1010000035
37888;0.1040000021;0.1040000021
38912;0.1070000082;0.1070000082
39936;0.1090000048;0.1090000048
40960;0.1120000035;0.1120000035
41984;0.1260000020;0.1760000139
43008;0.1190000027;0.1180000082
44032;0.1210000068;0.1200000048
45056;0.1220000088;0.1230000034
46080;0.1260000020;0.1250000000
47104;0.1280000061;0.1280000061
48128;0.1310000122;0.1300000101
49152;0.1330000013;0.1319999993
50176;0.1360000074;0.1350000054
51200;0.1380000114;0.1380000114
52224;0.1400000006;0.1400000006
53248;0.1430000067;0.1430000067
54272;0.1460000128;0.1460000128
55296;0.1480000019;0.1490000039
56320;0.1520000100;0.1740000099
57344;0.1540000141;0.1540000141
58368;0.1570000052;0.1560000032
59392;0.1590000093;0.1580000073
60416;0.1610000134;0.1610000134
61440;0.1640000045;0.1640000045
62464;0.1670000106;0.1660000086
63488;0.1690000147;0.1690000147
64512;0.1720000058;0.1710000038
65536;0.1740000099;0.1740000099
66560;0.1770000011;0.1770000011
67584;0.1790000051;0.1790000051
68608;0.2050000131;0.1319999993
69632;0.1380000114;0.1430000067
70656;0.1600000113;0.2030000091
71680;0.1600000113;0.1340000033
72704;0.1690000147;0.1670000106
73728;0.1380000114;0.1370000094
74752;0.2070000172;0.1390000135
75776;0.1410000026;0.1400000006
76800;0.1430000067;0.1500000060
77824;0.1490000039;0.1480000019
78848;0.1510000080;0.1500000060
79872;0.1520000100;0.1520000100
80896;0.1550000012;0.1540000141
81920;0.1620000005;0.1560000032
82944;0.1580000073;0.1580000073
83968;0.1590000093;0.1590000093
84992;0.1620000005;0.1900000125
86016;0.1760000139;0.1640000045
87040;0.1650000066;0.1650000066
88064;0.1670000106;0.1690000147
89088;0.1600000113;0.1600000113
90112;0.1620000005;0.1610000134
91136;0.1640000045;0.1750000119
92160;0.2140000165;0.1660000086
93184;0.1680000126;0.2130000144
94208;0.1690000147;0.1680000126
95232;0.1720000058;0.1700000018
96256;0.1730000079;0.2090000063
97280;0.1740000099;0.1740000099
98304;0.1770000011;0.1750000119
99328;0.1780000031;0.1770000011
100352;0.1800000072;0.1790000051
101376;0.1810000092;0.2010000050
102400;0.1880000085;0.2040000111
103424;0.1900000125;0.1890000105
104448;0.2260000110;0.1920000017
105472;0.2170000076;0.2040000111
106496;0.2000000030;0.1940000057
107520;0.1980000138;0.1960000098
108544;0.1990000159;0.1980000138
109568;0.2010000050;0.2000000030
110592;0.2030000091;0.2020000070
111616;0.2050000131;0.2040000111
112640;0.2060000151;0.2060000151
113664;0.2080000043;0.2250000089
114688;0.2250000089;0.2030000091
115712;0.2400000095;0.2790000141
116736;0.2639999986;0.2600000203
117760;0.2240000069;0.2400000095
118784;0.2170000076;0.2160000056
119808;0.2700000107;0.2300000042
120832;0.2280000150;0.2270000130
121856;0.2290000170;0.2280000150
122880;0.2350000143;0.2300000042
123904;0.2330000103;0.2320000082
124928;0.2340000123;0.2330000103
125952;0.2360000163;0.2350000143
126976;0.2370000184;0.2370000184
128000;0.2500000000;0.2870000005
129024;0.2330000103;0.2290000170
130048;0.2300000042;0.2300000042
131072;0.2450000048;0.2480000108
132096;0.2350000143;0.2330000103
133120;0.2360000163;0.2360000163
134144;0.2370000184;0.2370000184
135168;0.2390000075;0.2390000075
136192;0.2410000116;0.2400000095
137216;0.2430000156;0.2420000136
138240;0.2440000176;0.2440000176
139264;0.2460000068;0.2800000012
140288;0.2490000129;0.2470000088
141312;0.2500000000;0.2490000129
142336;0.2510000169;0.2510000169
143360;0.2540000081;0.2520000041
144384;0.2560000122;0.2540000081
145408;0.2569999993;0.2560000122
146432;0.2590000033;0.2580000162
147456;0.3320000172;0.2610000074
148480;0.2620000243;0.2620000243
149504;0.2639999986;0.2630000114
150528;0.2660000026;0.2660000026
151552;0.2680000067;0.2660000026
152576;0.2700000107;0.2680000067
153600;0.3090000153;0.2710000277
154624;0.2730000019;0.3060000241
155648;0.2760000229;0.2740000188
156672;0.2760000229;0.2750000060
157696;0.2780000269;0.2770000100
158720;0.2790000141;0.2790000141
159744;0.2820000052;0.2810000181
160768;0.2830000222;0.2820000052
161792;0.2850000262;0.2880000174
162816;0.2870000005;0.2860000134
163840;0.2890000045;0.2870000005
164864;0.2910000086;0.3050000072
165888;0.2920000255;0.2910000086
166912;0.2930000126;0.2939999998
167936;0.2950000167;0.2950000167
168960;0.3220000267;0.2960000038
169984;0.3000000119;0.2990000248
171008;0.3310000300;0.3010000288
172032;0.3030000031;0.3020000160
173056;0.3050000072;0.3040000200
174080;0.3070000112;0.3060000241
175104;0.3090000153;0.3290000260
176128;0.3090000153;0.3080000281
177152;0.3120000064;0.3110000193
178176;0.3140000105;0.3120000064
179200;0.3160000145;0.3140000105
180224;0.3170000017;0.3160000145
181248;0.3190000057;0.3540000021
182272;0.3220000267;0.3190000057
183296;0.3230000138;0.3210000098
184320;0.3240000010;0.3220000267
185344;0.3270000219;0.3440000117
186368;0.4110000134;0.3910000324
187392;0.3580000103;0.3450000286
188416;0.3320000172;0.3300000131
189440;0.3560000062;0.3500000238
190464;0.3520000279;0.3520000279
191488;0.3870000243;0.3590000272
192512;0.3670000136;0.3560000062
193536;0.3700000048;0.3580000103
194560;0.3430000246;0.3400000036
195584;0.3420000076;0.3420000076
196608;0.3440000117;0.3440000117
197632;0.3460000157;0.3450000286
198656;0.3480000198;0.3600000143
199680;0.3650000095;0.3500000238
200704;0.3520000279;0.3510000110
201728;0.3540000021;0.3530000150
202752;0.3550000191;0.3540000021
203776;0.3560000062;0.3560000062
204800;0.3590000272;0.3830000162
205824;0.4000000060;0.3600000143
206848;0.3640000224;0.3610000312
207872;0.3640000224;0.3630000055
208896;0.3660000265;0.3650000095
209920;0.3680000305;0.4190000296
210944;0.3710000217;0.3680000305
211968;0.3710000217;0.3700000048
212992;0.3730000257;0.3710000217
214016;0.3760000169;0.3730000257
215040;0.3770000041;0.3750000298
216064;0.4050000310;0.3770000041
217088;0.3820000291;0.3790000081
218112;0.3820000291;0.3810000122
219136;0.3830000162;0.3820000291
220160;0.3860000074;0.3840000033
221184;0.3900000155;0.3860000074
222208;0.3890000284;0.3880000114
223232;0.3910000324;0.3890000284
224256;0.3930000067;0.3910000324
225280;0.4130000174;0.3930000067
226304;0.4090000093;0.3950000107
227328;0.4340000153;0.4580000341
228352;0.4000000060;0.3980000317
229376;0.4020000100;0.3990000188
230400;0.4040000141;0.4020000100
231424;0.4250000119;0.4030000269
232448;0.4080000222;0.4050000310
233472;0.4080000222;0.4070000052
234496;0.4100000262;0.4080000222
235520;0.4200000167;0.4350000322
236544;0.4130000174;0.4130000174
237568;0.4150000215;0.4140000343
238592;0.4160000086;0.4150000215
239616;0.4190000296;0.4180000126
240640;0.4210000336;0.4230000079
241664;0.4230000079;0.4200000167
242688;0.4260000288;0.4220000207
243712;0.4270000160;0.4700000286
244736;0.4310000241;0.4260000288
245760;0.4420000315;0.4450000226
246784;0.4320000112;0.4300000072
247808;0.4580000341;0.4330000281
248832;0.4350000322;0.4330000281
249856;0.4370000064;0.4380000234
250880;0.4400000274;0.4370000064
251904;0.4400000274;0.4390000105
252928;0.4420000315;0.4400000274
253952;0.4440000355;0.4420000315
254976;0.4720000327;0.4440000355
256000;0.4490000308;0.4780000150
257024;0.4480000138;0.4480000138
258048;0.4510000348;0.4730000198
259072;0.4540000260;0.5100000501
260096;0.4570000172;0.4530000091
261120;0.4550000131;0.4540000260
262144;0.4580000341;0.4560000300
263168;0.4610000253;0.4670000076
264192;0.4610000253;0.4600000083
265216;0.4620000124;0.4610000253
266240;0.4650000334;0.4980000257
267264;0.4670000076;0.4650000334
268288;0.4730000198;0.4670000076
269312;0.4720000327;0.4680000246
270336;0.4720000327;0.4700000286
271360;0.4730000198;0.4720000327
272384;0.4840000272;0.4730000198
273408;0.4780000150;0.5200000405
274432;0.4810000360;0.4770000279
275456;0.4810000360;0.4790000319
276480;0.4870000184;0.4800000191
277504;0.4910000265;0.4830000103
278528;0.4860000312;0.4840000272
279552;0.4880000353;0.4860000312
280576;0.4980000257;0.4890000224
281600;0.4930000305;0.4890000224
282624;0.4940000176;0.4910000265
283648;0.4940000176;0.5320000052
284672;0.5030000210;0.4950000346
285696;0.4980000257;0.4970000088
286720;0.5000000000;0.4990000129
287744;0.5440000296;0.5000000000
288768;0.5160000324;0.5020000339
289792;0.5070000291;0.5040000081
290816;0.5080000162;0.5060000420
291840;0.5100000501;0.5070000291
292864;0.5130000114;0.5090000033
293888;0.5120000243;0.5100000501
294912;0.5139999986;0.5120000243
295936;0.5160000324;0.5130000114
296960;0.5270000100;0.5160000324
297984;0.5200000405;0.5170000196
299008;0.5210000277;0.5190000534
300032;0.5230000019;0.5910000205
301056;0.5260000229;0.5240000486
302080;0.5260000229;0.5250000358
303104;0.5290000439;0.5270000100
304128;0.5300000310;0.5370000005
305152;0.5320000052;0.5310000181
306176;0.5330000520;0.5320000052
307200;0.5350000262;0.5320000052
308224;0.5400000215;0.5340000391
309248;0.5400000215;0.5370000005
310272;0.5400000215;0.5380000472
311296;0.5430000424;0.5400000215
312320;0.5530000329;0.5420000553
313344;0.5910000205;0.5440000296
314368;0.5500000119;0.5460000038
315392;0.5509999990;0.5530000329
316416;0.5860000253;0.5490000248
317440;0.5550000072;0.5509999990
318464;0.5550000072;0.5530000329
319488;0.5820000172;0.5540000200
320512;0.5649999976;0.5560000539
321536;0.5600000024;0.5570000410
322560;0.5620000362;0.5640000105
323584;0.5630000234;0.5610000491
324608;0.5810000300;0.5630000234
325632;0.6270000339;0.5649999976
326656;0.6120000482;0.5660000443
327680;0.5720000267;0.5690000057
328704;0.5720000267;0.5700000525
329728;0.5730000138;0.5740000010
330752;0.5770000219;0.6090000272
331776;0.5790000558;0.5760000348
332800;0.5810000300;0.5770000219
333824;0.5920000076;0.5810000300
334848;0.5879999995;0.5830000043
335872;0.5870000124;0.5850000381
336896;0.6360000372;0.5900000334
337920;0.5900000334;0.5879999995
338944;0.5920000076;0.5900000334
339968;0.5940000415;0.6010000110
340992;0.5970000029;0.5940000415
342016;0.5970000029;0.5950000286
343040;0.6000000238;0.5970000029
344064;0.6210000515;0.5980000496
345088;0.6030000448;0.6370000243
346112;0.6070000529;0.6020000577
347136;0.6180000305;0.6060000062
348160;0.6380000114;0.6100000143
349184;0.6110000014;0.6080000401
350208;0.6130000353;0.6130000353
351232;0.6150000095;0.6430000067
352256;0.6160000563;0.6130000353
353280;0.6330000162;0.6230000257
354304;0.6200000048;0.6160000563
355328;0.6200000048;0.6190000176
356352;0.6230000257;0.6240000129
357376;0.6230000257;0.6220000386
358400;0.6260000467;0.6550000310
359424;0.6790000200;0.6240000129
360448;0.6400000453;0.6260000467
361472;0.6300000548;0.6280000210
362496;0.6330000162;0.6300000548
363520;0.6380000114;0.6310000420
364544;0.6370000243;0.6330000162
365568;0.6370000243;0.6350000501
366592;0.6490000486;0.6380000114
367616;0.6410000324;0.6380000114
368640;0.6440000534;0.6420000196
369664;0.6940000057;0.6440000534
370688;0.6490000486;0.6440000534
371712;0.6490000486;0.6720000505
372736;0.6630000472;0.6490000486
373760;0.6540000439;0.6500000358
374784;0.6550000310;0.6510000229
375808;0.6600000262;0.6530000567
376832;0.6580000520;0.6540000439
377856;0.6600000262;0.6560000181
378880;0.6690000296;0.6980000138
379904;0.6960000396;0.6650000215
380928;0.6640000343;0.6610000134
381952;0.6860000491;0.6630000472
382976;0.6670000553;0.6660000086
384000;0.6700000167;0.6670000553
385024;0.7320000529;0.6700000167
386048;0.6750000119;0.6710000038
387072;0.6760000587;0.6730000377
388096;0.6970000267;0.6740000248
389120;0.6780000329;0.6760000587
390144;0.7280000448;0.6770000458
391168;0.7080000043;0.6790000200
392192;0.6840000153;0.6810000539
393216;0.6860000491;0.6830000281
394240;0.7080000043;0.6850000620
395264;0.6900000572;0.6860000491
396288;0.6940000057;0.7150000334
397312;0.7360000610;0.6910000443
398336;0.6990000606;0.6930000186
399360;0.6980000138;0.7440000176
400384;0.7010000348;0.6980000138
401408;0.7020000219;0.7000000477
402432;0.7060000300;0.7120000124
403456;0.7070000172;0.7020000219
404480;0.7090000510;0.7040000558
405504;0.7150000334;0.7080000043
406528;0.7110000253;0.7080000043
407552;0.7150000334;0.7100000381
408576;0.7260000110;0.7440000176
409600;0.7650000453;0.7130000591
410624;0.7190000415;0.7200000286
411648;0.7190000415;0.7170000076
412672;0.7220000625;0.7190000415
413696;0.7230000496;0.7460000515
414720;0.7260000110;0.7220000625
415744;0.7280000448;0.7240000367
416768;0.7340000272;0.7250000238
417792;0.7640000582;0.7430000305
418816;0.7750000358;0.7290000319
419840;0.7790000439;0.7310000062
420864;0.8240000606;0.7500000596
421888;0.7580000162;0.7380000353
422912;0.7410000563;0.7350000143
423936;0.7430000305;0.7370000482
424960;0.7550000548;0.7390000224
425984;0.7670000196;0.7400000095
427008;0.7660000324;0.7910000086
428032;0.7530000210;0.7610000372
429056;0.7540000081;0.7460000515
430080;0.7560000420;0.7570000291
431104;0.7570000291;0.7500000596
432128;0.7960000634;0.7520000339
433152;0.7650000453;0.7540000081
434176;0.7640000582;0.7550000548
435200;0.7630000114;0.7670000196
436224;0.7650000453;0.8030000329
437248;0.7700000405;0.7610000372
438272;0.7720000148;0.7620000243
439296;0.7730000615;0.7640000582
440320;0.7720000148;0.7750000358
441344;0.7750000358;0.7670000196
442368;0.7760000229;0.7980000377
443392;0.7850000262;0.7710000277
444416;0.7820000648;0.7730000615
445440;0.8230000138;0.7840000391
446464;0.7850000262;0.7760000229
447488;0.7850000262;0.7780000567
448512;0.7870000601;0.7840000391
449536;0.7870000601;0.7820000648
450560;0.7890000343;0.7830000520
451584;0.8010000587;0.7850000262
452608;0.7960000634;0.7870000601
453632;0.8290000558;0.8410000205
454656;0.7990000248;0.7900000215
455680;0.7980000377;0.7920000553
456704;0.8100000620;0.7940000296
457728;0.8030000329;0.7960000634
458752;0.8040000200;0.8010000587
459776;0.8070000410;0.7990000248
460800;0.8090000153;0.8090000153
461824;0.8180000186;0.8430000544
462848;0.8200000525;0.8060000539
463872;0.8180000186;0.8500000238
464896;0.8200000525;0.8140000105
465920;0.8200000525;0.8260000348
466944;0.8230000138;0.8190000653
467968;0.8230000138;0.8190000653
468992;0.8270000219;0.8210000396
470016;0.8280000687;0.8520000577
471040;0.8320000172;0.8380000591
472064;0.8310000300;0.8270000219
473088;0.8300000429;0.8290000558
474112;0.8360000253;0.8670000434
475136;0.8350000381;0.8320000172
476160;0.8500000238;0.8340000510
477184;0.8400000334;0.8350000381
478208;0.8390000463;0.8840000629
479232;0.8440000415;0.8390000463
480256;0.8450000286;0.8410000205
481280;0.8780000210;0.8430000544
482304;0.8480000496;0.8450000286
483328;0.8520000577;0.8630000353
484352;0.8820000291;0.8490000367
485376;0.8540000319;0.8610000610
486400;0.8660000563;0.8830000162
487424;0.8570000529;0.8540000319
488448;0.8620000482;0.8890000582
489472;0.8600000143;0.8730000257
490496;0.8700000644;0.8590000272
491520;0.8630000353;0.8610000610
492544;0.8640000224;0.8650000691
493568;0.8660000563;0.8800000548
494592;0.9510000348;0.8760000467
495616;0.8700000644;0.8670000434
496640;0.8710000515;0.8680000305
497664;0.8770000339;0.8710000515
498688;0.8740000129;0.8740000129
499712;0.8860000372;0.8740000129
500736;0.8800000548;0.8760000467
501760;0.8800000548;0.9290000200
502784;0.8820000291;0.8790000677
503808;0.9080000520;0.8910000324
504832;0.8860000372;0.8830000162
505856;0.8890000582;0.8850000501
506880;0.8930000663;0.8860000372
507904;0.8900000453;0.8870000243
508928;0.9010000229;0.8900000453
509952;0.9360000491;0.8920000196
510976;0.8970000148;0.8960000277
512000;0.8980000615;0.8950000405
513024;0.9000000358;0.9440000653
